Code,Description,Level,Parent_Code
3251,Basic Chemical Manufacturing,Industry Group,325
32511,Petrochemical Manufacturing,Industry,3251
325110,Petrochemical Manufacturing,U.S. Industry,32511
32512,Industrial Gas Manufacturing,Industry,3251
325120,Industrial Gas Manufacturing,U.S. Industry,32512
32513,Synthetic Dye and Pigment Manufacturing,Industry,3251
325130,Synthetic Dye and Pigment Manufacturing,U.S. Industry,32513
32518,Other Basic Inorganic Chemical Manufacturing,Industry,3251
325180,Other Basic Inorganic Chemical Manufacturing,U.S. Industry,32518
32519,Other Basic Organic Chemical Manufacturing,Industry,3251
325193,Ethyl Alcohol Manufacturing,U.S. Industry,32519
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",U.S. Industry,32519
325199,All Other Basic Organic Chemical Manufacturing,U.S. Industry,32519
3252,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments",Industry Group,325
32521,Resin and Synthetic Rubber Manufacturing,Industry,3252
325211,Plastics Material and Resin Manufacturing,U.S. Industry,32521
325212,Synthetic Rubber Manufacturing,U.S. Industry,32521
32522,Artificial and Synthetic Fibers and Filaments Manufacturing,Industry,3252
325220,Artificial and Synthetic Fibers and Filaments Manufacturing,U.S. Industry,32522
3253,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",Industry Group,325
32531,Fertilizer Manufacturing,Industry,3253
325311,Nitrogenous Fertilizer Manufacturing,U.S. Industry,32531
325312,Phosphatic Fertilizer Manufacturing,U.S. Industry,32531
325314,Fertilizer (Mixing Only) Manufacturing,U.S. Industry,32531
32532,Pesticide and Other Agricultural Chemical Manufacturing,Industry,3253
325320,Pesticide and Other Agricultural Chemical Manufacturing,U.S. Industry,32532
3254,Pharmaceutical and Medicine Manufacturing,Industry Group,325
32541,Pharmaceutical and Medicine Manufacturing,Industry,3254
325411,Medicinal and Botanical Manufacturing,U.S. Industry,32541
325412,Pharmaceutical Preparation Manufacturing,U.S. Industry,32541
325413,In-Vitro Diagnostic Substance Manufacturing,U.S. Industry,32541
325414,Biological Product (except Diagnostic) Manufacturing,U.S. Industry,32541
3255,"Paint, Coating, and Adhesive Manufacturing",Industry Group,325
32551,Paint and Coating Manufacturing,Industry,3255
325510,Paint and Coating Manufacturing,U.S. Industry,32551
32552,Adhesive Manufacturing,Industry,3255
325520,Adhesive Manufacturing,U.S. Industry,32552
3256,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",Industry Group,325
32561,Soap and Cleaning Compound Manufacturing,Industry,3256
325611,Soap and Other Detergent Manufacturing,U.S. Industry,32561
325612,Polish and Other Sanitation Good Manufacturing,U.S. Industry,32561
325613,Surface Active Agent Manufacturing,U.S. Industry,32561
32562,Toilet Preparation Manufacturing,Industry,3256
325620,Toilet Preparation Manufacturing,U.S. Industry,32562
3259,Other Chemical Product and Preparation Manufacturing,Industry Group,325
32591,Printing Ink Manufacturing,Industry,3259
325910,Printing Ink Manufacturing,U.S. Industry,32591
32592,Explosives Manufacturing,Industry,3259
325920,Explosives Manufacturing,U.S. Industry,32592
32599,All Other Chemical Product and Preparation Manufacturing,Industry,3259
325991,Custom Compounding of Purchased Resins,U.S. Industry,32599
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",U.S. Industry,32599
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,U.S. Industry,32599
326,Plastics and Rubber Products Manufacturing,Subsector,32
3261,Plastics Product Manufacturing,Industry Group,326
32611,Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing,Industry,3261
326111,Plastics Bag and Pouch Manufacturing,U.S. Industry,32611
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,U.S. Industry,32611
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,U.S. Industry,32611
32612,"Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing",Industry,3261
326121,Unlaminated Plastics Profile Shape Manufacturing,U.S. Industry,32612
326122,Plastics Pipe and Pipe Fitting Manufacturing,U.S. Industry,32612
32613,"Laminated Plastics Plate, Sheet (except Packaging), and Shape",Industry,3261
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape",U.S. Industry,32613
32614,Polystyrene Foam Product Manufacturing,Industry,3261
326140,Polystyrene Foam Product Manufacturing,U.S. Industry,32614
32615,Urethane and Other Foam Product (except Polystyrene) Manufacturing,Industry,3261
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,U.S. Industry,32615
32616,Plastics Bottle Manufacturing,Industry,3261
326160,Plastics Bottle Manufacturing,U.S. Industry,32616
32619,Other Plastics Product Manufacturing,Industry,3261
326191,Plastics Plumbing Fixture Manufacturing,U.S. Industry,32619
326199,All Other Plastics Product Manufacturing,U.S. Industry,32619
3262,Rubber Product Manufacturing,Industry Group,326
32621,Tire Manufacturing,Industry,3262
326211,Tire Manufacturing (except Retreading),U.S. Industry,32621
326212,Tire Retreading,U.S. Industry,32621
32622,Rubber and Plastics Hoses and Belting Manufacturing,Industry,3262
326220,Rubber and Plastics Hoses and Belting Manufacturing,U.S. Industry,32622
32629,Other Rubber Product Manufacturing,Industry,3262
326291,Rubber Product Manufacturing for Mechanical Use,U.S. Industry,32629
326299,All Other Rubber Product Manufacturing,U.S. Industry,32629
327,Nonmetallic Mineral Product Manufacturing,Subsector,32
3271,Clay Product and Refractory Manufacturing,Industry Group,327
32711,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",Industry,3271
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing",U.S. Industry,32711
32712,Clay Building Material and Refractories Manufacturing,Industry,3271
327120,Clay Building Material and Refractories Manufacturing,U.S. Industry,32712
3272,Glass and Glass Product Manufacturing,Industry Group,327
32721,Glass and Glass Product Manufacturing,Industry,3272
327211,Flat Glass Manufacturing,U.S. Industry,32721
327212,Other Pressed and Blown Glass and Glassware Manufacturing,U.S. Industry,32721
327213,Glass Container Manufacturing,U.S. Industry,32721
327215,Glass Product Manufacturing Made of Purchased Glass,U.S. Industry,32721
3273,Cement and Concrete Product Manufacturing,Industry Group,327
32731,Cement Manufacturing,Industry,3273
327310,Cement Manufacturing,U.S. Industry,32731
32732,Ready-Mix Concrete Manufacturing,Industry,3273
327320,Ready-Mix Concrete Manufacturing,U.S. Industry,32732
32733,"Concrete Pipe, Brick, and Block Manufacturing",Industry,3273
327331,Concrete Block and Brick Manufacturing,U.S. Industry,32733
327332,Concrete Pipe Manufacturing,U.S. Industry,32733
32739,Other Concrete Product Manufacturing,Industry,3273
327390,Other Concrete Product Manufacturing,U.S. Industry,32739
3274,Lime and Gypsum Product Manufacturing,Industry Group,327
32741,Lime Manufacturing,Industry,3274
327410,Lime Manufacturing,U.S. Industry,32741
32742,Gypsum Product Manufacturing,Industry,3274
327420,Gypsum Product Manufacturing,U.S. Industry,32742
3279,Other Nonmetallic Mineral Product Manufacturing,Industry Group,327
32791,Abrasive Product Manufacturing,Industry,3279
327910,Abrasive Product Manufacturing,U.S. Industry,32791
32799,All Other Nonmetallic Mineral Product Manufacturing,Industry,3279
327991,Cut Stone and Stone Product Manufacturing,U.S. Industry,32799
327992,Ground or Treated Mineral and Earth Manufacturing,U.S. Industry,32799
327993,Mineral Wool Manufacturing,U.S. Industry,32799
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,U.S. Industry,32799
33,Manufacturing,Sector,
331,Primary Metal Manufacturing,Subsector,33
3311,Iron and Steel Mills and Ferroalloy Manufacturing,Industry Group,331
33111,Iron and Steel Mills and Ferroalloy Manufacturing,Industry,3311
331110,Iron and Steel Mills and Ferroalloy Manufacturing,U.S. Industry,33111
3312,Steel Product Manufacturing from Purchased Steel,Industry Group,331
33121,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,Industry,3312
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,U.S. Industry,33121
33122,Rolling and Drawing of Purchased Steel,Industry,3312
331221,Rolled Steel Shape Manufacturing,U.S. Industry,33122
331222,Steel Wire Drawing,U.S. Industry,33122
3313,Alumina and Aluminum Production and Processing,Industry Group,331
33131,Alumina and Aluminum Production and Processing,Industry,3313
331313,Alumina Refining and Primary Aluminum Production,U.S. Industry,33131
331314,Secondary Smelting and Alloying of Aluminum,U.S. Industry,33131
331315,"Aluminum Sheet, Plate, and Foil Manufacturing",U.S. Industry,33131
331318,"Other Aluminum Rolling, Drawing, and Extruding",U.S. Industry,33131
3314,Nonferrous Metal (except Aluminum) Production and Processing,Industry Group,331
33141,Nonferrous Metal (except Aluminum) Smelting and Refining,Industry,3314
331410,Nonferrous Metal (except Aluminum) Smelting and Refining,U.S. Industry,33141
33142,"Copper Rolling, Drawing, Extruding, and Alloying",Industry,3314
331420,"Copper Rolling, Drawing, Extruding, and Alloying",U.S. Industry,33142
33149,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing,",Industry,3314
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and",U.S. Industry,33149
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except",U.S. Industry,33149
3315,Foundries,Industry Group,331
33151,Ferrous Metal Foundries,Industry,3315
331511,Iron Foundries,U.S. Industry,33151
331512,Steel Investment Foundries,U.S. Industry,33151
331513,Steel Foundries (except Investment),U.S. Industry,33151
33152,Nonferrous Metal Foundries,Industry,3315
331523,Nonferrous Metal Die-Casting Foundries,U.S. Industry,33152
331524,Aluminum Foundries (except Die-Casting),U.S. Industry,33152
331529,Other Nonferrous Metal Foundries (except Die-Casting),U.S. Industry,33152
332,Fabricated Metal Product Manufacturing,Subsector,33
3321,Forging and Stamping,Industry Group,332
33211,Forging and Stamping,Industry,3321
332111,Iron and Steel Forging,U.S. Industry,33211
332112,Nonferrous Forging,U.S. Industry,33211
332114,Custom Roll Forming,U.S. Industry,33211
332117,Powder Metallurgy Part Manufacturing,U.S. Industry,33211
332119,"Metal Crown, Closure, and Other Metal Stamping (except",U.S. Industry,33211
3322,Cutlery and Handtool Manufacturing,Industry Group,332
33221,Cutlery and Handtool Manufacturing,Industry,3322
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious)",U.S. Industry,33221
332216,Saw Blade and Handtool Manufacturing,U.S. Industry,33221
3323,Architectural and Structural Metals Manufacturing,Industry Group,332
33231,Plate Work and Fabricated Structural Product Manufacturing,Industry,3323
332311,Prefabricated Metal Building and Component Manufacturing,U.S. Industry,33231
332312,Fabricated Structural Metal Manufacturing,U.S. Industry,33231
332313,Plate Work Manufacturing,U.S. Industry,33231
33232,Ornamental and Architectural Metal Products Manufacturing,Industry,3323
332321,Metal Window and Door Manufacturing,U.S. Industry,33232
332322,Sheet Metal Work Manufacturing,U.S. Industry,33232
332323,Ornamental and Architectural Metal Work Manufacturing,U.S. Industry,33232
3324,"Boiler, Tank, and Shipping Container Manufacturing",Industry Group,332
33241,Power Boiler and Heat Exchanger Manufacturing,Industry,3324
332410,Power Boiler and Heat Exchanger Manufacturing,U.S. Industry,33241
33242,Metal Tank (Heavy Gauge) Manufacturing,Industry,3324
332420,Metal Tank (Heavy Gauge) Manufacturing,U.S. Industry,33242
33243,"Metal Can, Box, and Other Metal Container (Light Gauge) Manufacturing",Industry,3324
332431,Metal Can Manufacturing,U.S. Industry,33243
332439,Other Metal Container Manufacturing,U.S. Industry,33243
3325,Hardware Manufacturing,Industry Group,332
33251,Hardware Manufacturing,Industry,3325
332510,Hardware Manufacturing,U.S. Industry,33251
3326,Spring and Wire Product Manufacturing,Industry Group,332
33261,Spring and Wire Product Manufacturing,Industry,3326
332613,Spring Manufacturing,U.S. Industry,33261
332618,Other Fabricated Wire Product Manufacturing,U.S. Industry,33261
3327,"Machine Shops; Turned Product; and Screw, Nut, and Bolt Manufacturing",Industry Group,332
33271,Machine Shops,Industry,3327
332710,Machine Shops,U.S. Industry,33271
33272,"Turned Product and Screw, Nut, and Bolt Manufacturing",Industry,3327
332721,Precision Turned Product Manufacturing,U.S. Industry,33272
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing",U.S. Industry,33272
3328,"Coating, Engraving, Heat Treating, and Allied Activities",Industry Group,332
33281,"Coating, Engraving, Heat Treating, and Allied Activities",Industry,3328
332811,Metal Heat Treating,U.S. Industry,33281
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied",U.S. Industry,33281
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring",U.S. Industry,33281
3329,Other Fabricated Metal Product Manufacturing,Industry Group,332
33291,Metal Valve Manufacturing,Industry,3329
332911,Industrial Valve Manufacturing,U.S. Industry,33291
332912,Fluid Power Valve and Hose Fitting Manufacturing,U.S. Industry,33291
332913,Plumbing Fixture Fitting and Trim Manufacturing,U.S. Industry,33291
332919,Other Metal Valve and Pipe Fitting Manufacturing,U.S. Industry,33291
33299,All Other Fabricated Metal Product Manufacturing,Industry,3329
332991,Ball and Roller Bearing Manufacturing,U.S. Industry,33299
332992,Small Arms Ammunition Manufacturing,U.S. Industry,33299
332993,Ammunition (except Small Arms) Manufacturing,U.S. Industry,33299
332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing",U.S. Industry,33299
332996,Fabricated Pipe and Pipe Fitting Manufacturing,U.S. Industry,33299
332999,All Other Miscellaneous Fabricated Metal Product Manufacturing,U.S. Industry,33299
333,Machinery Manufacturing,Subsector,33
3331,"Agriculture, Construction, and Mining Machinery Manufacturing",Industry Group,333
33311,Agricultural Implement Manufacturing,Industry,3331
333111,Farm Machinery and Equipment Manufacturing,U.S. Industry,33311
333112,Lawn and Garden Tractor and Home Lawn and Garden Equipment,U.S. Industry,33311
33312,Construction Machinery Manufacturing,Industry,3331
333120,Construction Machinery Manufacturing,U.S. Industry,33312
33313,Mining and Oil and Gas Field Machinery Manufacturing,Industry,3331
333131,Mining Machinery and Equipment Manufacturing,U.S. Industry,33313
333132,Oil and Gas Field Machinery and Equipment Manufacturing,U.S. Industry,33313
3332,Industrial Machinery Manufacturing,Industry Group,333
33324,Industrial Machinery Manufacturing,Industry,3332
333241,Food Product Machinery Manufacturing,U.S. Industry,33324
333242,Semiconductor Machinery Manufacturing,U.S. Industry,33324
333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing",U.S. Industry,33324
333244,Printing Machinery and Equipment Manufacturing,U.S. Industry,33324
333249,Other Industrial Machinery Manufacturing,U.S. Industry,33324
3333,Commercial and Service Industry Machinery Manufacturing,Industry Group,333
33331,Commercial and Service Industry Machinery Manufacturing,Industry,3333
333314,Optical Instrument and Lens Manufacturing,U.S. Industry,33331
333316,Photographic and Photocopying Equipment Manufacturing,U.S. Industry,33331
333318,Other Commercial and Service Industry Machinery Manufacturing,U.S. Industry,33331
3334,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration",Industry Group,333
33341,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration",Industry,3334
333413,Industrial and Commercial Fan and Blower and Air Purification Equipment,U.S. Industry,33341
333414,Heating Equipment (except Warm Air Furnaces) Manufacturing,U.S. Industry,33341
333415,Air-Conditioning and Warm Air Heating Equipment and Commercial and,U.S. Industry,33341
3335,Metalworking Machinery Manufacturing,Industry Group,333
33351,Metalworking Machinery Manufacturing,Industry,3335
333511,Industrial Mold Manufacturing,U.S. Industry,33351
333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing",U.S. Industry,33351
333515,Cutting Tool and Machine Tool Accessory Manufacturing,U.S. Industry,33351
333517,Machine Tool Manufacturing,U.S. Industry,33351
333519,Rolling Mill and Other Metalworking Machinery Manufacturing,U.S. Industry,33351
3336,"Engine, Turbine, and Power Transmission Equipment Manufacturing",Industry Group,333
33361,"Engine, Turbine, and Power Transmission Equipment Manufacturing",Industry,3336
333611,Turbine and Turbine Generator Set Units Manufacturing,U.S. Industry,33361
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing",U.S. Industry,33361
333613,Mechanical Power Transmission Equipment Manufacturing,U.S. Industry,33361
333618,Other Engine Equipment Manufacturing,U.S. Industry,33361
3339,Other General Purpose Machinery Manufacturing,Industry Group,333
33391,Pump and Compressor Manufacturing,Industry,3339
333912,Air and Gas Compressor Manufacturing,U.S. Industry,33391
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing",U.S. Industry,33391
33392,Material Handling Equipment Manufacturing,Industry,3339
333921,Elevator and Moving Stairway Manufacturing,U.S. Industry,33392
333922,Conveyor and Conveying Equipment Manufacturing,U.S. Industry,33392
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing",U.S. Industry,33392
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing",U.S. Industry,33392
33399,All Other General Purpose Machinery Manufacturing,Industry,3339
333991,Power-Driven Handtool Manufacturing,U.S. Industry,33399
333992,Welding and Soldering Equipment Manufacturing,U.S. Industry,33399
333993,Packaging Machinery Manufacturing,U.S. Industry,33399
333994,Industrial Process Furnace and Oven Manufacturing,U.S. Industry,33399
333995,Fluid Power Cylinder and Actuator Manufacturing,U.S. Industry,33399
333996,Fluid Power Pump and Motor Manufacturing,U.S. Industry,33399
333997,Scale and Balance Manufacturing,U.S. Industry,33399
333999,All Other Miscellaneous General Purpose Machinery Manufacturing,U.S. Industry,33399
334,Computer and Electronic Product Manufacturing,Subsector,33
3341,Computer and Peripheral Equipment Manufacturing,Industry Group,334
33411,Computer and Peripheral Equipment Manufacturing,Industry,3341
334111,Electronic Computer Manufacturing,U.S. Industry,33411
334112,Computer Storage Device Manufacturing,U.S. Industry,33411
334118,Computer Terminal and Other Computer Peripheral Equipment Manufacturing,U.S. Industry,33411
3342,Communications Equipment Manufacturing,Industry Group,334
33421,Telephone Apparatus Manufacturing,Industry,3342
334210,Telephone Apparatus Manufacturing,U.S. Industry,33421
33422,Radio and Television Broadcasting and Wireless Communications Equipment,Industry,3342
334220,Radio and Television Broadcasting and Wireless Communications Equipment,U.S. Industry,33422
33429,Other Communications Equipment Manufacturing,Industry,3342
334290,Other Communications Equipment Manufacturing,U.S. Industry,33429
3343,Audio and Video Equipment Manufacturing,Industry Group,334
33431,Audio and Video Equipment Manufacturing,Industry,3343
334310,Audio and Video Equipment Manufacturing,U.S. Industry,33431
3344,Semiconductor and Other Electronic Component Manufacturing,Industry Group,334
33441,Semiconductor and Other Electronic Component Manufacturing,Industry,3344
334412,Bare Printed Circuit Board Manufacturing,U.S. Industry,33441
334413,Semiconductor and Related Device Manufacturing,U.S. Industry,33441
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing",U.S. Industry,33441
334417,Electronic Connector Manufacturing,U.S. Industry,33441
334418,Printed Circuit Assembly (Electronic Assembly) Manufacturing,U.S. Industry,33441
334419,Other Electronic Component Manufacturing,U.S. Industry,33441
3345,"Navigational, Measuring, Electromedical, and Control Instruments",Industry Group,334
33451,"Navigational, Measuring, Electromedical, and Control Instruments",Industry,3345
334510,Electromedical and Electrotherapeutic Apparatus Manufacturing,U.S. Industry,33451
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System",U.S. Industry,33451
334512,"Automatic Environmental Control Manufacturing for Residential,",U.S. Industry,33451
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying,",U.S. Industry,33451
334514,Totalizing Fluid Meter and Counting Device Manufacturing,U.S. Industry,33451
334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical,U.S. Industry,33451
334516,Analytical Laboratory Instrument Manufacturing,U.S. Industry,33451
334517,Irradiation Apparatus Manufacturing,U.S. Industry,33451
334519,Other Measuring and Controlling Device Manufacturing,U.S. Industry,33451
3346,Manufacturing and Reproducing Magnetic and Optical Media,Industry Group,334
33461,Manufacturing and Reproducing Magnetic and Optical Media,Industry,3346
334613,Blank Magnetic and Optical Recording Media Manufacturing,U.S. Industry,33461
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record",U.S. Industry,33461
335,"Electrical Equipment, Appliance, and Component Manufacturing",Subsector,33
3351,Electric Lighting Equipment Manufacturing,Industry Group,335
33511,Electric Lamp Bulb and Part Manufacturing,Industry,3351
335110,Electric Lamp Bulb and Part Manufacturing,U.S. Industry,33511
33512,Lighting Fixture Manufacturing,Industry,3351
335121,Residential Electric Lighting Fixture Manufacturing,U.S. Industry,33512
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture",U.S. Industry,33512
335129,Other Lighting Equipment Manufacturing,U.S. Industry,33512
3352,Household Appliance Manufacturing,Industry Group,335
33521,Small Electrical Appliance Manufacturing,Industry,3352
335210,Small Electrical Appliance Manufacturing,U.S. Industry,33521
33522,Major Household Appliance Manufacturing,Industry,3352
335220,Major Household Appliance Manufacturing,U.S. Industry,33522
3353,Electrical Equipment Manufacturing,Industry Group,335
33531,Electrical Equipment Manufacturing,Industry,3353
335311,"Power, Distribution, and Specialty Transformer Manufacturing",U.S. Industry,33531
335312,Motor and Generator Manufacturing,U.S. Industry,33531
335313,Switchgear and Switchboard Apparatus Manufacturing,U.S. Industry,33531
335314,Relay and Industrial Control Manufacturing,U.S. Industry,33531
3359,Other Electrical Equipment and Component Manufacturing,Industry Group,335
33591,Battery Manufacturing,Industry,3359
335911,Storage Battery Manufacturing,U.S. Industry,33591
335912,Primary Battery Manufacturing,U.S. Industry,33591
33592,Communication and Energy Wire and Cable Manufacturing,Industry,3359
335921,Fiber Optic Cable Manufacturing,U.S. Industry,33592
335929,Other Communication and Energy Wire Manufacturing,U.S. Industry,33592
33593,Wiring Device Manufacturing,Industry,3359
335931,Current-Carrying Wiring Device Manufacturing,U.S. Industry,33593
335932,Noncurrent-Carrying Wiring Device Manufacturing,U.S. Industry,33593
33599,All Other Electrical Equipment and Component Manufacturing,Industry,3359
335991,Carbon and Graphite Product Manufacturing,U.S. Industry,33599
335999,All Other Miscellaneous Electrical Equipment and Component,U.S. Industry,33599
336,Transportation Equipment Manufacturing,Subsector,33
3361,Motor Vehicle Manufacturing,Industry Group,336
33611,Automobile and Light Duty Motor Vehicle Manufacturing,Industry,3361
336111,Automobile Manufacturing,U.S. Industry,33611
336112,Light Truck and Utility Vehicle Manufacturing,U.S. Industry,33611
33612,Heavy Duty Truck Manufacturing,Industry,3361
336120,Heavy Duty Truck Manufacturing,U.S. Industry,33612
3362,Motor Vehicle Body and Trailer Manufacturing,Industry Group,336
33621,Motor Vehicle Body and Trailer Manufacturing,Industry,3362
336211,Motor Vehicle Body Manufacturing,U.S. Industry,33621
336212,Truck Trailer Manufacturing,U.S. Industry,33621
336213,Motor Home Manufacturing,U.S. Industry,33621
336214,Travel Trailer and Camper Manufacturing,U.S. Industry,33621
3363,Motor Vehicle Parts Manufacturing,Industry Group,336
33631,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,Industry,3363
336310,Motor Vehicle Gasoline Engine and Engine Parts Manufacturing,U.S. Industry,33631
33632,Motor Vehicle Electrical and Electronic Equipment Manufacturing,Industry,3363
336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,U.S. Industry,33632
33633,Motor Vehicle Steering and Suspension Components (except Spring),Industry,3363
336330,Motor Vehicle Steering and Suspension Components (except Spring),U.S. Industry,33633
33634,Motor Vehicle Brake System Manufacturing,Industry,3363
336340,Motor Vehicle Brake System Manufacturing,U.S. Industry,33634
33635,Motor Vehicle Transmission and Power Train Parts Manufacturing,Industry,3363
336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,U.S. Industry,33635
33636,Motor Vehicle Seating and Interior Trim Manufacturing,Industry,3363
336360,Motor Vehicle Seating and Interior Trim Manufacturing,U.S. Industry,33636
33637,Motor Vehicle Metal Stamping,Industry,3363
336370,Motor Vehicle Metal Stamping,U.S. Industry,33637
33639,Other Motor Vehicle Parts Manufacturing,Industry,3363
336390,Other Motor Vehicle Parts Manufacturing,U.S. Industry,33639
3364,Aerospace Product and Parts Manufacturing,Industry Group,336
33641,Aerospace Product and Parts Manufacturing,Industry,3364
336411,Aircraft Manufacturing,U.S. Industry,33641
336412,Aircraft Engine and Engine Parts Manufacturing,U.S. Industry,33641
336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,U.S. Industry,33641
336414,Guided Missile and Space Vehicle Manufacturing,U.S. Industry,33641
336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts,U.S. Industry,33641
336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment,U.S. Industry,33641
3365,Railroad Rolling Stock Manufacturing,Industry Group,336
33651,Railroad Rolling Stock Manufacturing,Industry,3365
336510,Railroad Rolling Stock Manufacturing,U.S. Industry,33651
3366,Ship and Boat Building,Industry Group,336
33661,Ship and Boat Building,Industry,3366
336611,Ship Building and Repairing,U.S. Industry,33661
336612,Boat Building,U.S. Industry,33661
3369,Other Transportation Equipment Manufacturing,Industry Group,336
33699,Other Transportation Equipment Manufacturing,Industry,3369
336991,"Motorcycle, Bicycle, and Parts Manufacturing",U.S. Industry,33699
336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",U.S. Industry,33699
336999,All Other Transportation Equipment Manufacturing,U.S. Industry,33699
337,Furniture and Related Product Manufacturing,Subsector,33
3371,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,Industry Group,337
33711,Wood Kitchen Cabinet and Countertop Manufacturing,Industry,3371
337110,Wood Kitchen Cabinet and Countertop Manufacturing,U.S. Industry,33711
33712,Household and Institutional Furniture Manufacturing,Industry,3371
337121,Upholstered Household Furniture Manufacturing,U.S. Industry,33712
337122,Nonupholstered Wood Household Furniture Manufacturing,U.S. Industry,33712
337124,Metal Household Furniture Manufacturing,U.S. Industry,33712
337125,Household Furniture (except Wood and Metal) Manufacturing,U.S. Industry,33712
337127,Institutional Furniture Manufacturing,U.S. Industry,33712
3372,Office Furniture (including Fixtures) Manufacturing,Industry Group,337
33721,Office Furniture (including Fixtures) Manufacturing,Industry,3372
337211,Wood Office Furniture Manufacturing,U.S. Industry,33721
337212,Custom Architectural Woodwork and Millwork Manufacturing,U.S. Industry,33721
337214,Office Furniture (except Wood) Manufacturing,U.S. Industry,33721
337215,"Showcase, Partition, Shelving, and Locker Manufacturing",U.S. Industry,33721
3379,Other Furniture Related Product Manufacturing,Industry Group,337
33791,Mattress Manufacturing,Industry,3379
337910,Mattress Manufacturing,U.S. Industry,33791
33792,Blind and Shade Manufacturing,Industry,3379
337920,Blind and Shade Manufacturing,U.S. Industry,33792
339,Miscellaneous Manufacturing,Subsector,33
3391,Medical Equipment and Supplies Manufacturing,Industry Group,339
33911,Medical Equipment and Supplies Manufacturing,Industry,3391
339112,Surgical and Medical Instrument Manufacturing,U.S. Industry,33911
339113,Surgical Appliance and Supplies Manufacturing,U.S. Industry,33911
339114,Dental Equipment and Supplies Manufacturing,U.S. Industry,33911
339115,Ophthalmic Goods Manufacturing,U.S. Industry,33911
339116,Dental Laboratories,U.S. Industry,33911
3399,Other Miscellaneous Manufacturing,Industry Group,339
33991,Jewelry and Silverware Manufacturing,Industry,3399
339910,Jewelry and Silverware Manufacturing,U.S. Industry,33991
33992,Sporting and Athletic Goods Manufacturing,Industry,3399
339920,Sporting and Athletic Goods Manufacturing,U.S. Industry,33992
33993,"Doll, Toy, and Game Manufacturing",Industry,3399
339930,"Doll, Toy, and Game Manufacturing",U.S. Industry,33993
33994,Office Supplies (except Paper) Manufacturing,Industry,3399
339940,Office Supplies (except Paper) Manufacturing,U.S. Industry,33994
33995,Sign Manufacturing,Industry,3399
339950,Sign Manufacturing,U.S. Industry,33995
33999,All Other Miscellaneous Manufacturing,Industry,3399
339991,"Gasket, Packing, and Sealing Device Manufacturing",U.S. Industry,33999
339992,Musical Instrument Manufacturing,U.S. Industry,33999
339993,"Fastener, Button, Needle, and Pin Manufacturing",U.S. Industry,33999
339994,"Broom, Brush, and Mop Manufacturing",U.S. Industry,33999
